label,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
1,32398076516.571754,25758892382.047607,21798334223.369648,18870349099.599934,16021432092.36737,12991182324.30783,11315739649.353592,10711247076.297579,9450473261.55891,7007567056.457336
1,3793061608.4184484,3345195348.7766666,3003866148.8002076,2886714842.8737597,2302028490.739521,1718029473.7347732,1631861487.3197417,1543626494.3264287,1388795918.8579397,1309538582.8790898
1,6177616796.040241,4634131844.233488,3890155346.419334,4191604586.948625,3891790112.8295774,3464484444.1421633,3261274533.4656734,2392219326.8848343,2019907200.6067176,1762250040.2843103
1,9638331384.29525,7863409863.469202,6482899332.374637,5856763920.00478,4843739908.789162,4258431810.1935215,3789477161.721437,3193022670.9139557,2883843096.7950983,2654012419.90994
1,10060037509.424208,8657898351.124905,6959614641.3256855,6296258188.077749,5574344552.519334,4959122391.392443,4630864526.574201,4349458152.458627,3537083544.7961416,3563238286.7480736
1,13882771443.528086,10972128822.099506,8665884381.407568,7115050749.603596,5887079614.250689,5063312363.867425,4260283321.0735183,3842477395.5031033,3285463296.126649,2908333132.066206
1,14211473138.5127,11589856062.18159,10429430687.120955,8982306382.688965,7110159058.706059,6252083251.917557,6438044707.482534,5873536765.438908,4551827493.051316,4103816481.765039
1,7512317583.056086,7117586152.634914,5543737533.168182,6869660626.606568,6439571560.485115,6830390324.903999,3618387786.7413855,2881371851.507224,2590392670.5070553,2154856354.986558
1,12620172527.08244,13118823004.667463,9985919809.300692,7269401046.9942875,6138873391.157189,5754137866.77911,4352448086.017226,3613694638.2439184,3035950480.9255524,2622778055.305502
1,13850917883.13787,11433582718.375692,10223993394.642376,14018679106.241001,14357043841.43483,10612555072.644377,8047214639.104258,4968879249.890865,4428090891.352219,3592021124.983614
1,3209620999.768578,2771252494.8056755,2245628659.074853,2033842652.6986647,1756648392.6820593,1582912316.9401228,1360626250.6760921,1285636492.2480378,1055713380.7374241,998737078.3148867
1,5660668443.047841,5687916613.917734,5815783025.882055,5500391526.907627,6419369438.400694,4861593413.757384,5202112017.883028,3451970411.248096,2935659957.140386,1991785056.4456654
1,11561963137.11443,11012367032.2151,10862200225.207409,12209009411.332079,10087196829.90054,6602376879.398262,5847717754.80962,5164901190.603506,4317242208.496978,3700378457.8160105
1,11976495141.341555,14462339108.281769,14598306179.108578,14167286640.187437,9358838730.983017,7186503230.786789,6267412987.731682,5349791912.441738,3618288829.4204683,3484820161.944504
1,31434749640.568268,25549579081.432266,21595200189.462044,18610271831.960705,15861899157.084892,19009885687.43045,15505532788.27823,10660503206.733936,9242245076.656372,7438133519.87748
1,4742914302.196113,4179431243.1609335,3334719043.1126485,2913931577.70903,2455382017.0824566,2160102751.166649,1913707802.3472798,1638048217.2848232,1537619771.2839167,1368904622.138505
1,31419732731.161415,25951915624.7932,21420454692.04505,19637658348.34979,15361854469.532791,13787966820.842754,12570514325.872513,10887061668.283394,8579524884.338028,7566616462.037956
1,11197141535.216908,8337877727.246752,7004943698.932286,6150840017.854505,4777040639.006794,3856575445.172769,3536862117.8344326,3056551874.4923496,2653135720.327774,2353358207.6866198
1,10406660216.222565,9079902316.14392,10604540142.91298,11811074390.34787,12966968177.742752,10504555270.937489,10610564441.778856,8292531462.529922,8229841362.933264,5619478191.218408
1,8519397907.572468,7583199385.314178,8154860944.2320795,8097583162.262753,7184961538.357984,8822315459.644566,8833396500.215189,4530089359.680638,3734389258.380309,3050854716.774946
1,14866949050.803978,14264276366.961586,15465146582.057144,14212497608.419872,10524987661.178108,8752177034.044895,9929276501.614017,6936070373.694636,5947982264.8725815,5269691891.559882
1,6550484211.689321,5786679204.458855,4775691925.745269,4947771947.617652,5816803519.552679,6350769685.512905,7291072705.42676,6829162842.509153,5839802804.723272,4396646833.49746
1,27180324582.293755,23528684630.13695,21274568603.609962,16840631470.933306,14894326730.698448,13290283746.58974,10089344906.61617,9405880722.99842,8040890451.030249,7291882964.32161
1,28145626508.81344,23462457534.04059,19203031280.783592,16264591809.497894,14139946292.128265,13998886842.485416,12786795888.137386,11926075058.363789,10574845929.839895,9260876246.535557
1,2919298416.908557,2250499903.8201303,2058424983.3632786,1873679272.107087,1626014717.1089995,1419787421.0564756,1344442686.6223593,1249133930.1336436,1037963163.4694905,994493129.8887275
1,11449692657.435581,9950986405.762081,9477076689.960938,8813105532.18054,7231699464.052025,7864577993.5650215,7282006734.163051,5617329579.77842,4198035220.1417418,3717195743.9067388
1,27394349699.937187,23983071839.85121,25606661372.810097,20919620423.916008,14030247589.845787,9914303859.270689,9313423524.25804,7975378411.231519,6461284148.326833,6655474434.224155
1,7625595530.110164,7428249491.520169,8570843777.164987,10968157656.574986,9378020509.0429,9547192336.033333,7284484055.606108,5264367835.3434305,4358489592.749762,3573262940.0228844
1,10494043586.076527,8083250975.171795,7134640972.491102,6598377718.913122,5279982881.46718,4273363965.132911,3682988007.9456053,3182828472.2330627,2984756742.766898,2975360928.256713
1,20326921268.308323,19221429748.22128,14807587058.355612,13975080836.96135,12217327245.05707,9869843054.532578,9322008410.283285,9536270997.49319,9033869401.633343,8649392616.589912
