label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
1,123622216468668.16,3144420536016.8105,861312163977.6458,405220136413.3772,233945602420.7864,143612790645.28192,96734264391.85043,73080572386.07942,50890602330.23022,38797956216.170204
1,115357990451269.52,977280126848.7356,265004147422.03156,102816308202.10959,57744896221.57828,37617668349.226,31220375002.66369,20318442260.985672,7889652099.064807,4794430942.358568
1,114015844637761.31,475583528922.11444,155941575617.5724,70061276693.82346,41763852677.42429,30089179484.6573,21975678842.054466,15226811707.877121,7935383639.747952,6661121248.584541
1,314198747984431.44,2554331811939.547,709455502452.2468,288015725707.70105,161496290760.13693,111493619431.88773,75479500663.44669,46800093823.21515,15923800603.659397,11832427805.210056
1,117916446211712.9,1032286462055.1711,305755512696.9236,128722254101.40948,88170739090.65552,61939252727.8255,39299247480.91142,28789415746.487526,15701682620.064295,12088948505.269487
1,111063552927297.1,1284629153140.0938,400172490114.0421,197887270489.4176,116423935714.65002,76703925045.18413,54086222070.8264,39189906840.579384,23825846927.541832,17462767804.12654
1,83168886767928.47,1155987246629.501,397002929254.25977,209207398389.64886,137950127172.5297,95954241340.59734,65125470953.85683,45676540057.76155,20833557005.36358,16116934287.663511
1,149848277485242.44,872226303963.3857,215078996773.72018,106441067288.77872,67884971889.195694,46123093600.99688,34424971087.69807,23633255945.78524,10365300921.8871,8785114334.358444
1,142992562286165.16,1453123255971.9023,433678468757.5923,208411894400.6522,139415505014.82883,91231851974.53494,69321861935.26901,45696238353.757,15699135663.162334,12316858362.53689
1,97565812601271.17,1366447399862.2417,385986398703.08813,189900129715.2787,101094095461.4979,66116374361.19535,50753220505.787094,35438854479.295,19120655658.967365,14947709237.055622
1,132976820355776.08,601808748431.5569,193536274375.67334,74294478053.23659,41315485628.83975,33051324771.24925,24333066285.48281,14251717071.528675,4879754572.601706,3933099777.943398
1,92785644713776.5,604979261689.16,191904305557.09744,77421558078.21439,45116764131.60512,28219718549.883713,20234370765.97202,13418563805.39806,6989348104.547411,5694698475.915518
1,128430573299692.16,1539819645454.4429,431505811042.3719,202339834962.83246,137844754814.65417,79981855518.52742,56602252218.17812,36318079061.160095,18869736327.67669,15470892044.177118
1,133096721626950.0,1624923078394.1235,520301967861.2295,235757701795.98962,131701924883.52022,77952743746.2811,56160563497.12078,38150544290.61043,16975710676.194881,14578803741.385117
1,132933354176354.45,3496954885206.672,821667179749.1956,430695879351.3734,243230082114.3468,152563270387.88568,107119707695.58844,76661391598.24213,50254246498.054695,40093167547.52483
1,108625951474420.73,927134875651.9573,238890324431.136,115727280931.68211,61547375939.625114,41372977180.632256,32219090910.988037,21150242678.496277,8688100834.405853,6052217489.98125
1,161955043044216.3,3175296869974.382,866154493235.5455,399684055443.63367,219906276700.27777,140537264102.98938,106800842755.68596,78091239929.93733,49382395607.0505,38036169972.29712
1,338136649182809.25,2823977894879.4653,636509845991.5408,217352600948.79364,118150080453.5269,75643220866.06477,47537694162.40728,28362770589.965782,18514418633.04712,15616100637.214462
1,127640422398342.22,1780019967962.9517,434016572947.2554,174368918729.10602,91514503616.56036,54300506817.84151,39695102333.2301,25767408881.835197,12203394212.137438,10702580702.10532
1,106311797381590.34,1282909110975.5835,340566465942.65,165604553784.23038,91380080237.60146,53947137823.3101,37013296902.85163,24585156904.696835,12009791343.032494,10130516976.012402
1,137763799659789.64,2055703833660.334,558028011920.2131,243016699148.3315,149817464981.2484,89621005681.59317,53819272127.412994,35270526529.92318,21471287552.261993,17161013217.561522
1,88234792277147.66,875464080588.583,264597396828.1811,103296705256.59879,54693832978.96373,33469412263.700104,22526350275.148422,15377366765.799358,8936949497.33995,6581556981.21542
1,122148701108128.16,2809688125295.5654,757980790463.8596,351842570703.70593,203326649354.08325,145295743731.03046,95081493233.55408,61931995652.39695,47230159080.05905,33009874824.335518
