label,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
1,6049814042.474843,5308074750.118827,4810399516.464264,4357567412.1034775,3755975319.052781,3513545148.09991,3325094314.1669292,3180375798.084211,3358752627.0436707,705322635.0935066
1,1125548862.2711568,960144677.9227164,959593024.386973,906312011.6760616,837460751.2164183,833822203.6102109,797626023.300447,726206561.6682948,718044386.479003,167688610.46673167
1,1739493462.7009926,1720516198.4377441,1830080554.9245381,1627265129.4351444,1337502617.633444,1144334577.9554818,1024500439.659864,990734540.6481855,987395070.5900013,174776901.01556802
1,2374530262.1203465,2107437463.603241,2034069125.3597312,1858847175.511374,1744733941.7221322,1734239641.3368716,1579864486.5218992,1533721021.6888275,1506058823.4567559,203074339.78077757
1,3321382952.460252,2923988816.3705177,2928773945.2391276,2748095636.8835,2432505516.021573,2604063851.295123,2474368825.276602,2341965864.088354,2433502599.190426,261232919.13076097
1,2534995313.5811777,2185424094.055158,2050581804.526606,1944478960.322707,1703328238.8815842,1612971790.6568608,1561501546.7682824,1434221553.2323418,1428748068.3388214,297472161.5662581
1,3503145095.580323,3117984548.1080294,2989103435.1037245,2731750813.0686274,2510772516.610077,2471850886.20737,2388459285.2555737,2208360765.2736907,2240199869.857931,272453816.42246413
1,2114643395.822512,1954305183.6113255,1807183747.4159613,1826389438.289812,1490596510.523827,1608587408.1958704,1340917350.8526812,1314142500.1495948,1732273798.691045,332480053.64345896
1,2334744740.2882304,2039410106.484982,2001219486.1468592,1936287793.071589,1532357424.5382586,1587467182.0299687,1409980371.4861767,1318308455.8437855,1178711524.571897,235121752.64904666
1,3807396082.860938,3029633396.9515204,2575836022.2279763,2562146032.34457,2311249376.523497,2389912409.3072658,2426211625.8928347,2408979955.576648,2643505042.691657,536190878.23878014
1,976675381.2428184,810939771.3990259,761611260.3109007,668318701.9188712,647227244.8281164,585864300.6282086,557080668.8172163,525107222.79300964,526562781.5491617,108766675.40737775
1,1781931127.4812562,1607742185.7283444,1472960400.0185895,1351040322.0211225,1341676909.381822,1465060446.8992698,1423722738.67599,1289479324.677299,1275115083.9088135,260979486.27696776
1,2891685424.693818,2824670119.471094,2646350475.5755625,2319432133.8675814,2217525777.3112345,2024440236.134365,1822778508.9447155,1821978649.699495,1777725247.0920541,418799896.1704673
1,3066566145.754288,2789788677.018646,2566994041.6669493,2271877249.3208137,2659686001.667422,2018698766.6322818,1931660105.0961056,2076807485.140522,2146201123.8314233,487233661.1950435
1,6404395910.503087,5657293592.078339,5098232760.709999,4715915879.516558,4246655759.55701,3926488465.303278,3790068416.082345,3440341882.8873777,3452388926.767961,742648603.7639468
1,1271433094.9125712,1052106234.639662,1119435327.6453867,997704680.3676333,906947641.480191,904119467.946532,892520053.7566543,797577670.3408608,810329913.6479287,173326546.12398908
1,6611073613.779259,5976478533.155156,5610559731.376707,5140937667.414461,4874736802.626848,4650927425.212742,4145547813.102189,3854688501.2633314,3800247228.844191,793978137.8829776
1,2132573021.1169868,1993096132.595789,1869523120.4125934,1642284424.5105054,1610608543.9298043,1525807592.3617692,1383330378.3128672,1343921832.5625594,1366793332.5943227,214435857.5759939
1,4023964470.088134,3162800303.0809126,2882722506.532169,2582867147.3637037,2431273263.9556165,2174492270.754617,2343630983.2408457,2150917738.430648,2282458129.993128,464177571.54071844
1,2385249945.2520514,1948797416.059546,1843656059.5130587,1789675426.2090724,1704613858.641317,1784913032.850029,1549411063.2072306,1476054779.8740196,1394306411.123313,285162478.516489
1,5006451425.074331,4125643712.227215,3174644969.6322026,2662729758.9292545,2513219969.1746874,2383640740.754715,2130434957.8612542,2036074457.807404,2153914621.9921036,428120705.8346108
1,3856824073.1694055,3106777306.391812,2981246032.6238513,2316196457.384323,2004147498.392431,1835479427.700128,1669305299.8259137,1558637473.2690039,1626678876.8486814,312437226.46476877
1,5363266470.956236,5242657103.322107,4842742975.13724,4456287817.132575,3922049271.0642705,3535916251.6654286,3628901838.1003127,3197973590.6376123,2902825383.56711,738210470.4563775
1,6532372224.144478,5957328862.763592,5256583747.242487,4666807667.6289425,4083708748.0113745,3760487947.3461857,3891496722.9078803,3687414011.1299505,3641663723.780621,801173769.893961
1,923458092.3659258,814299892.0357897,804332524.398853,720637976.2390168,646206152.707871,644781167.2616425,593280243.0985531,587747482.8203119,576776287.2264923,149261112.08965313
1,3476531543.3295107,3199667649.380589,3107793229.990925,3016965533.3290873,2742986372.765775,2808031655.667992,2708922509.368391,2450669297.4169636,2539707412.93866,262399176.99581677
1,5754207840.012659,4970647227.139944,4177057217.6815834,3638962759.058953,3947481172.541788,3960806279.897711,3474889645.2032595,3094103570.0774193,2889966955.5611267,530560167.4419681
1,3523056564.998333,3479938914.5811467,2862475636.885227,2489797889.3691444,2026771961.628923,1963460197.106303,2046805298.1360319,1766314963.313393,2013447121.9727101,430093900.74958754
1,2587931003.6517324,2354525484.25555,2286343693.3738985,1952934260.3918185,1761670420.6015377,1764178501.9964972,1640110591.3444142,1563581124.0613518,1759413425.3549237,269161669.2742687
1,8267175825.518726,7364780455.956526,7841698805.122162,7356401482.940614,6842772138.71617,6650799413.819656,6308630443.9921255,6294663861.2596855,6145194852.316313,1020347607.9757777
1,2096440343.540774,1397054620.5819545,1476611598.107166,1334922469.1870737,1257504664.6826942,1114334797.5101423,1026119350.1748835,1029388017.0225751,1116100091.666155,234268821.6595442
1,1522486078.8732777,1332298785.7386887,1217415571.7978272,1112717695.6877537,967820247.1067826,1001738618.9071677,1000574157.9648149,885290876.0278529,902784322.1411552,206016422.86907387
1,4789066995.215597,4169051087.1817856,3669675505.257791,3557758990.532336,3165053603.2183113,3230403954.93948,3169604661.27997,2856415947.2411456,2910026422.0853906,372779154.28431064
1,6147509600.872217,5435316520.2182,5175680075.47196,4697382610.716616,4265639640.253943,4301773618.313036,4189120758.8828425,3929930084.416235,3908355779.802533,776510686.0300369
1,2175741694.4757566,2045249238.909442,1743444728.4858618,1823964856.3955674,1570395080.923046,1452893185.3268993,1492781113.1488116,1433236896.5198126,1389127786.1120791,238198000.15766758
1,1110325485.1697118,1015617674.9692904,1023944787.5106666,834288075.9048073,844116475.0395441,816979936.7560997,850241598.2022381,744890096.7225204,782302234.8677685,178161215.73743525
1,5754207840.012659,4970647227.139944,4177057217.6815834,3638962759.058953,3947481172.541788,3960806279.897711,3474889645.2032595,3094103570.0774193,2889966955.5611267,530560167.4419681
1,2211864134.8168983,2007537960.6600685,1891472057.4167824,1774557506.3071985,1578195490.7925603,1557506228.6477323,1401638547.3712938,1339506374.1660407,1412130712.7827582,306988243.6163422
1,1946216872.4508796,1645873614.2856696,1490047202.2209153,1509162201.4677615,1419911210.667976,1420606172.4695373,1394281314.287518,1261089888.1736937,1349693880.9100702,305472099.64456934
